first_name,last_name,Lotto Number
Bennett,Jerams,1255268
Hart,Medeway,8635823
Guthry,Signorelli,4321057
Crawford,Stuck,7034365
Lyssa,Kummerlowe,5751466
Buck,Atmore,2595421
Kaleb,Bushaway,2699451
Granthem,Skowcraft,7498271
Lizzie,Postan,9825088
Stanley,Lamplugh,5301412
Barrie,Leidecker,9599268
Patrizio,Edlyn,8203233
Randolph,Leuren,1934379
Kaleena,Shallow,5709274
Nerita,Sigge,9184731
Magdalene,Dripps,1908216
Theodoric,Bogies,1708409
Kimmi,Rollitt,8790756
Stearn,Fifield,3913270
Jacklyn,Vallis,9637084
Debby,Yancey,5868182
Joellyn,Fessler,5094064
Corabel,Critch,7467548
Taffy,Bredbury,8265503
Lenore,Petrashov,8778133
Rafe,Watsham,7254633
